+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
+----------------------------------------------------------------------------------------------------------------------+--------+
| Wild Horses and Renegades                                                                                            | 10.0   |
| Amaren ideia                                                                                                         | 9.8    |
| Carolina, RI: The Smallest of the Small                                                                              | 9.6    |
| Mountains That Take Wing: Angela Davis & Yuri Kochiyama - A Conversation on Life, Struggles & Liberation             | 9.6    |
| Born to Be Our Children: Romanian Adoption Stories                                                                   | 9.5    |
| I Breathe                                                                                                            | 9.5    |
| If I Should Fall                                                                                                     | 9.5    |
| For Queen and Country                                                                                                | 9.4    |
| Invisible Circus: No Dress Rehearsal                                                                                 | 9.4    |
| Knut Sigve fra Folkestad                                                                                             | 9.4    |
| Land of the Rising Fastball                                                                                          | 9.4    |
| Legends of La La                                                                                                     | 9.4    |
| Moonshine to the Finish Line: An Unofficial History of NASCAR                                                        | 9.4    |
| Nickel City Smiler                                                                                                   | 9.4    |
| Bots High                                                                                                            | 9.3    |
| From the Midst of Pain                                                                                               | 9.3    |
| Moy otets Evgeniy                                                                                                    | 9.3    |
| My Sexuality: A Sensory Experience                                                                                   | 9.3    |
| Poor No More                                                                                                         | 9.3    |
| Silent Drum                                                                                                          | 9.3    |
| Stvarnost je takva kakva je                                                                                          | 9.3    |
| The Wall                                                                                                             | 9.3    |
| Zlin the lived Utopia                                                                                                | 9.3    |
| Ageroland                                                                                                            | 9.2    |
| Das Kind (L'enfant)                                                                                                  | 9.2    |
| Die Haushaltshilfe                                                                                                   | 9.2    |
| Everything In-Between: The Story of Ellipse                                                                          | 9.2    |
| Healing Neen                                                                                                         | 9.2    |
| Hurry Home                                                                                                           | 9.2    |
| Kings of the Gambia                                                                                                  | 9.2    |
| Kino moje malo                                                                                                       | 9.2    |
| Labranza oculta                                                                                                      | 9.2    |
| Mzungu (n.) White-Wanderer                                                                                           | 9.2    |
| Soi Dogs                                                                                                             | 9.2    |
| Tebaatusasula                                                                                                        | 9.2    |
| Townbiz                                                                                                              | 9.2    |
| When My Child Is Born                                                                                                | 9.2    |
| Wimbledon Official Film 2010                                                                                         | 9.2    |
| Yasuni - dos segundos de vida                                                                                        | 9.2    |
| A Not So Still Life                                                                                                  | 9.1    |
| All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall                                       | 9.1    |
